"title","page.no","body","fedchamb_flag","sub1_flag","sub2_flag"
"Second Reading",11109,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.to which the following amendment was moved:That all words after ""That"" be omitted with a view to substituting the following words:""whilst not declining to give the bill a second reading, the House urges the Government to do more to ensure Australia's pharmaceutical industry can provide new jobs, medicines and investment into Australia.""to which the following amendment was moved:That all words after ""whilst"" be omitted with a view to substituting the following words:""not declining to give the bill a second reading, the House notes:(1) that the price of the drug Ivermectin in Australia under the Pharmaceutical Benefits Scheme (PBS) is significantly higher than reported elsewhere in the world;(2) that on 10 September 2021, the TGA placed new restrictions on prescribing Ivermectin through the PBS for COVID-19, denying sick Australians access to a medicine that many medical experts believe could save lives, and this denial of Australians' access to a medicine through their doctor was described by experts as 'a sad and shameful day for Australian medicine';(3) recently published Australian data provides evidence that Ivermectin prescribed under the PBS in Australia (prior to the TGA's ban) combined as part of a 'triple therapy' including Zinc and Doxycycline (also prescribed under the PBS) has been highly successful in reducing hospitalisations and death;(4) that the TGA noted on 10 September 2021 there had been a three to four fold increase in dispensing of Ivermectin prescriptions through the PBS in recent months, however the TGA Database of Adverse Events records no increase in adverse events;(5) that a reason for denying Australians' access to Ivermectin through their doctor and the PBS to treat COVID-19 included the reason of 'national and local shortages for those who need the medicine for scabies and parasite infections', however medical regulators failed to take steps to overcome this shortage; and(6) that this denial of Australians' access to this medicine through their doctor and the policies of other nations to adopt widespread use of Ivermectin to tackle COVID-19, have created a black-market for the drug undermining Australia's PBS"".",0,0,1
"Consideration in Detail",11111,"Consideration in DetailBill—by leave—taken as a whole.",0,0,1
"Veterans' Affairs Legislation Amendment (Exempting Disability Payments from Income Testing and Other Measures) Bill 2021",11114,"Veterans' Affairs Legislation Amendment (Exempting Disability Payments from Income Testing and Other Measures) Bill 2021",0,1,0
"Third Reading",11114,"Third Reading",0,0,1
"Second Reading",11114,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.",0,0,1
"STATEMENTS BY MEMBERS",11120,"STATEMENTS BY MEMBERS",0,0,0
"Afghanistan",11120,"Afghanistan",0,1,0
"Energy",11120,"Energy",0,1,0
"Exell, Mr Boyd",11120,"Exell, Mr Boyd",0,1,0
"Grey Electorate: National Radioactive Waste Management Facility",11121,"Grey Electorate: National Radioactive Waste Management Facility",0,1,0
"Solomon Electorate: Monsoon Aquatics",11121,"Solomon Electorate: Monsoon Aquatics",0,1,0
"Barker Electorate: Men's Sheds",11121,"Barker Electorate: Men's Sheds",0,1,0
"COVID-19: Pharmacists",11122,"COVID-19: Pharmacists",0,1,0
"Casey Electorate: Casey Apprentice/Trainee of the Year Awards",11122,"Casey Electorate: Casey Apprentice/Trainee of the Year Awards",0,1,0
"Climate Change",11122,"Climate Change",0,1,0
"Wentworth Electorate: Local Government",11122,"Wentworth Electorate: Local Government",0,1,0
"Anti-Semitism",11123,"Anti-Semitism",0,1,0
"Online Safety",11123,"Online Safety",0,1,0
"Welfare Reform",11123,"Welfare Reform",0,1,0
"Sturt Electorate: Energy",11124,"Sturt Electorate: Energy",0,1,0
"Independent Review into Commonwealth Parliamentary Workplaces",11124,"Independent Review into Commonwealth Parliamentary Workplaces",0,1,0
"Herbert Electorate: Employment",11124,"Herbert Electorate: Employment",0,1,0
"Cowan Electorate: Schools",11125,"Cowan Electorate: Schools",0,1,0
"Hope in a Suitcase Australia",11125,"Hope in a Suitcase Australia",0,1,0
"Shortland Electorate: Health Care",11125,"Shortland Electorate: Health Care",0,1,0
"MINISTRY",11126,"MINISTRY",0,0,0
"QUESTIONS WITHOUT NOTICE",11126,"QUESTIONS WITHOUT NOTICE",0,0,0
"Forde Electorate: Windaroo Valley State High School",11126,"Forde Electorate: Windaroo Valley State High School",0,1,0
"Temporary Arrangements",11126,"Temporary Arrangements",0,1,0
"Independent Review into Commonwealth Parliamentary Workplaces",11126,"Independent Review into Commonwealth Parliamentary Workplaces",0,1,0
"COVID-19",11127,"COVID-19",0,1,0
"COVID-19: Quarantine",11127,"COVID-19: Quarantine",0,1,0
"Economy",11128,"Economy",0,1,0
"COVID-19: Quarantine",11129,"COVID-19: Quarantine",0,1,0
"Climate Change",11129,"Climate Change",0,1,0
"COVID-19: Economy",11130,"COVID-19: Economy",0,1,0
"COVID-19: Quarantine",11132,"COVID-19: Quarantine",0,1,0
"COVID-19",11132,"COVID-19",0,1,0
"COVID-19: Quarantine",11133,"COVID-19: Quarantine",0,1,0
"COVID-19",11133,"COVID-19",0,1,0
"Commonwealth Integrity Commission",11134,"Commonwealth Integrity Commission",0,1,0
"AUKUS",11135,"AUKUS",0,1,0
"Commonwealth Integrity Commission",11136,"Commonwealth Integrity Commission",0,1,0
"Research and Development",11137,"Research and Development",0,1,0
"Commonwealth Integrity Commission",11138,"Commonwealth Integrity Commission",0,1,0
"Agriculture Industry",11139,"Agriculture Industry",0,1,0
"CONDOLENCES",11140,"CONDOLENCES",0,0,0
"Dalaithngu, Mr David, AM",11140,"Dalaithngu, Mr David, AM",0,1,0
"DOCUMENTS",11141,"DOCUMENTS",0,0,0
"MATTERS OF PUBLIC IMPORTANCE",11141,"MATTERS OF PUBLIC IMPORTANCE",0,0,0
"Presentation",11141,"Presentation",0,1,0
"Broadband",11141,"Broadband",0,1,0
"PARLIAMENTARY REPRESENTATION",11150,"PARLIAMENTARY REPRESENTATION",0,0,0
"Valedictory",11150,"Valedictory",0,1,0
"COMMITTEES",11154,"COMMITTEES",0,0,0
"BILLS",11154,"BILLS",0,0,0
"Regional Australia Select Committee",11154,"Regional Australia Select Committee",0,1,0
"Veterans' Affairs Legislation Amendment (Exempting Disability Payments from Income Testing and Other Measures) Bill 2021",11154,"Veterans' Affairs Legislation Amendment (Exempting Disability Payments from Income Testing and Other Measures) Bill 2021",0,1,0
"Appointment",11154,"Appointment",0,0,1
"Second Reading",11154,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.to which the following amendment was moved:That all words after ""That"" be omitted with a view to substituting the following words:""whilst not declining to give the bill a second reading, the House criticises the Government for:(1) failing to increase the Totally and Permanently Incapacitated (TPI) Payment for disabled veterans and ignoring the concerns of Australia's 27,000 TPI veterans; and(2) ignoring the recommendation of a Senate Foreign Affairs, Defence and Trade References Committee Inquiry into the TPI Payment (Special Rate of Disability Pension) that recommended that the Government consider an increase in the TPI payment"".",0,0,1
"COMMITTEES",11165,"COMMITTEES",0,0,0
"BILLS",11165,"BILLS",0,0,0
"Public Accounts and Audit Committee",11165,"Public Accounts and Audit Committee",0,1,0
"Mitochondrial Donation Law Reform (Maeve's Law) Bill 2021",11165,"Mitochondrial Donation Law Reform (Maeve's Law) Bill 2021",0,1,0
"Third Reading",11165,"Third Reading",0,0,1
"Membership",11165,"Membership",0,0,1
"Second Reading",11165,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.",0,0,1
"BUSINESS",11175,"BUSINESS",0,0,0
"BILLS",11175,"BILLS",0,0,0
"Suspension of Standing and Sessional Orders",11175,"Suspension of Standing and Sessional Orders",0,1,0
"Mitochondrial Donation Law Reform (Maeve's Law) Bill 2021",11175,"Mitochondrial Donation Law Reform (Maeve's Law) Bill 2021",0,1,0
"Second Reading",11175,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.",0,0,1
"STATEMENTS",11178,"STATEMENTS",0,0,0
"Pharmaceutical Benefits Scheme, Macquarie Electorate: Agriculture Industry",11178,"Pharmaceutical Benefits SchemeMacquarie Electorate: Agriculture Industry",0,1,0
"Covid-19: Vaccination",11179,"Covid-19: Vaccination",0,1,0
"Mayo Electorate: Infrastructure",11179,"Mayo Electorate: Infrastructure",0,1,0
"Gippsland Electorate",11180,"Gippsland Electorate",0,1,0
"Independent Review into Commonwealth Parliamentary Workplaces",11181,"Independent Review into Commonwealth Parliamentary Workplaces",0,1,0
"COVID-19: Vaccination",11182,"COVID-19: Vaccination",0,1,0
"BILLS",11183,"BILLS",0,0,0
"Mitochondrial Donation Law Reform (Maeve's Law) Bill 2021",11183,"Mitochondrial Donation Law Reform (Maeve's Law) Bill 2021",0,1,0
"Second Reading",11183,"Second ReadingConsideration resumed of the motion:That this bill be now read a second time.",0,0,1
"NOTICES",11194,"NOTICESThe following notices were given:Mr Hunt to move:That in accordance with section 10B of the Health Insurance Act 1973, the House approve the Health Insurance (Extended Medicare Safety Net) Amendment (Indexation) Determination 2021 made on 21 November 2021 and presented to the House on 25 November 2021.Mr Morton to move:That, in accordance with the provisions of the Public Works Committee Act 1969, it is expedient to carry out the following proposed work which was referred to the Parliamentary Standing Committee on Public Works and on which the committee has duly reported to Parliament: Great Barrier Reef Marine Park Authority—Transformation of Reef HQ Aquarium. Mr Morton to move:That, in accordance with the provisions of the Public Works Committee Act 1969, it is expedient to carry out the following proposed work which was referred to the Parliamentary Standing Committee on Public Works and on which the committee has duly reported to Parliament: Department of Defence—Facilities to support LAND 19 Phase 7B Short Range Ground Base Air Defence, RAAF Base Edinburgh, South Australia. Mr Morton to move:That, in accordance with the provisions of the Public Works Committee Act 1969, the following proposed work be referred to the Parliamentary Standing Committee on Public Works for consideration and report: Department of Home Affairs—Proposed fit-out of 808 Bourke Street, Docklands, Victoria. Mr Morton to move:That, in accordance with the provisions of the Public Works Committee Act 1969, the following proposed work be referred to the Parliamentary Standing Committee on Public Works for consideration and report: Services Australia—Fit-out of new leased premises at 205 North Quay, Brisbane, Queensland. Mr Morton to move:That, in accordance with the provisions of the Public Works Committee Act 1969, the following proposed work be referred to the Parliamentary Standing Committee on Public Works for consideration and report: Services Australia—Fit-out of new leased premises at 120 Bathurst Street, Hobart, Tasmania. Mrs Marino to move:I give notice that on the next day of sitting I shall move that, in accordance with section 5 of the Parliament Act 1974, the House approve the following proposal for work in the Parliamentary Zone, which was presented to the House on 24 November 2021, namely: Dame Enid Lyons and Dame Dorothy Tangney commemorative sculpture.Mr Fletcher to move:That:(1) a Select Committee on Social Media and Online Safety be established to inquire into:(a) the range of online harms that may be faced by Australians on social media and other online platforms, including harmful content or harmful conduct;(b) evidence of:(i) the potential impacts of online harms on the mental health and wellbeing of Australians;(ii) the extent to which algorithms used by social media platforms permit, increase or reduce online harms to Australians;(iii) existing identity verification and age assurance policies and practices and the extent to which they are being enforced;(c) the effectiveness, take-up and impact of industry measures, including safety features, controls, protections and settings, to keep Australians, particularly children, safe online;(d) the effectiveness and impact of industry measures to give parents the tools they need to make meaningful decisions to keep their children safe online;(e) the transparency and accountability required of social media platforms and online technology companies regarding online harms experienced by their Australians users;(f) the collection and use of relevant data by industry in a safe, private and secure manner;(g) actions being pursued by the Government to keep Australians safe online; and(h) any other related matter;(2) the committee present its final report on or before 15 February 2022;(3) the committee consist of eight members, five Members to be nominated by the Government Whip, and three Members to be nominated by the Opposition Whip or by any non-aligned Member;(4) supplementary members may:(a) be appointed to the committee on the nomination of the Government Whip, the Opposition Whip or any minority party or independent member; and(b) participate in hearings of evidence and deliberations of the committee, and have all the rights of members of the committee, but may not vote on any question before the committee;(5) every nomination of a member of the committee be notified in writing to the Speaker of the House of Representatives;(6) the members of the committee hold office as a select committee until presentation of the committee's final report or until the House of Representatives is dissolved or expires by effluxion of time, whichever is the earlier;(7) the committee may proceed to the dispatch of business notwithstanding that not all members have been duly nominated and appointed and notwithstanding any vacancy;(8) the committee elect:(a) a Government member as its chair; and(b) a non-Government member as its deputy chair who shall act as chair of the committee at any time when the chair is not present at a meeting of the committee;(9) at any time when the chair and deputy chair are not present at a meeting of the committee, the members present shall elect another member to act as chair at that meeting;(10) in the event of an equally divided vote, the chair, or the deputy chair when acting as chair, have a casting vote;(11) three members of the committee constitute a quorum of the committee;(12) the committee:(a) have power to appoint subcommittees consisting of three or more of its members, and to refer to any subcommittee any matter which the committee is empowered to examine; and(b) appoint the chair of each subcommittee who shall have a casting vote only;(13) at any time when the chair of a subcommittee is not present at a meeting of the subcommittee, the members of the subcommittee present shall elect another member of that subcommittee to act as chair at that meeting;(14) two members of a subcommittee constitute the quorum of that subcommittee;(15) members of the committee who are not members of a subcommittee may participate in the proceedings of that subcommittee but shall not vote, move any motion or be counted for the purpose of a quorum;(16) the committee or any subcommittee have power to:(a) call for witnesses to attend and for documents to be produced;(b) conduct proceedings at any place it sees fit;(c) sit in public or in private;(d) report from time to time; and(e) adjourn from time to time and to sit during any adjournment of the House of Representatives;(17) the committee or any subcommittee have power to consider and make use of the evidence and records of any former committee on related matters; and(18) the provisions of this resolution, so far as they are inconsistent with the standing orders, have effect notwithstanding anything contained in the standing orders.Federation ChamberTuesday, 30 November 2021The DEPUTY SPEAKER (Mrs Wicks)
              took the chair at 16:00.",0,0,0
"CONSTITUENCY STATEMENTS",11196,"CONSTITUENCY STATEMENTS",1,0,0
"National Disability Insurance Scheme",11196,"National Disability Insurance Scheme",1,1,0
"Bradfield Electorate: COVID-19",11196,"Bradfield Electorate: COVID-19",1,1,0
"Morrison Government",11197,"Morrison Government",1,1,0
"Parkes Electorate: Bourke Abattoir",11197,"Parkes Electorate: Bourke Abattoir",1,1,0
"Dobell Electorate: Dobell Awards",11198,"Dobell Electorate: Dobell Awards",1,1,0
"Forestry",11198,"Forestry",1,1,0
"Maribyrnong Electorate: Community Organisations",11199,"Maribyrnong Electorate: Community Organisations",1,1,0
"Local Council Elections: New South Wales",11199,"Local Council Elections: New South Wales",1,1,0
"Corio Electorate, Costa, Mr Frank",11200,"Corio ElectorateCosta, Mr Frank",1,1,0
"MINISTERIAL STATEMENTS",11201,"MINISTERIAL STATEMENTS",1,0,0
"Page Electorate",11201,"Page Electorate",1,1,0
"Fifth Annual Statement on Veterans and their Families",11201,"Fifth Annual Statement on Veterans and their FamiliesConsideration resumed of the motion:That the House take note of the document.",1,1,0
"COMMITTEES",11207,"COMMITTEES",1,0,0
"Health, Aged Care and Sport Committee",11207,"Health, Aged Care and Sport Committee",1,1,0
"Report",11207,"ReportConsideration resumed of the motion:That the House take note of the report.",1,0,1
"BUSINESS",11215,"BUSINESS",1,0,0
"GRIEVANCE DEBATE",11215,"GRIEVANCE DEBATEConsideration resumed of the motion:That grievances be noted.",1,0,0
"Rearrangement",11215,"Rearrangement",1,1,0
"Morrison Government: Timber Industry, Morrison Government: Telecommunications Industry",11215,"Morrison Government: Timber IndustryMorrison Government: Telecommunications Industry",1,1,0
"Solomon Islands, COVID-19, National Security, Digital Media Reform, Government",11216,"Solomon IslandsCOVID-19National SecurityDigital Media ReformGovernment",1,1,0
"Climate Change, International Day of Solidarity with the Palestinian People",11218,"Climate ChangeInternational Day of Solidarity with the Palestinian People",1,1,0
"Forde Electorate: Community Events",11220,"Forde Electorate: Community Events",1,1,0
"Morrison Government, Bonner Electorate",11223,"Morrison GovernmentBonner Electorate",1,1,0
